model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,car_type
 Yaris,2018,10000,Manual,31922,Petrol,145,58.9,1.5,toyota
 I30,2018,11250,Manual,12364,Diesel,145,74.3,1.6,hyundi
 Auris,2017,10698,Manual,19975,Diesel,150,67.3,1.6,toyota
 3 Series,2014,7795,Automatic,147110,Diesel,30,62.8,2.0,bmw
 Fiesta,2016,7441,Manual,31363,Petrol,0,65.7,1.0,ford
 GLS Class,2019,54990,Semi-Auto,18717,Diesel,145,34.0,3.0,merc
 X6,2018,34990,Automatic,40000,Diesel,145,40.9,3.0,bmw
 Aygo,2017,7698,Manual,19654,Petrol,145,68.9,1.0,toyota
 Kuga,2019,19700,Manual,12759,Petrol,145,35.3,1.5,ford
 Tucson,2019,18495,Semi-Auto,16375,Petrol,145,36.2,1.6,hyundi
 C Class,2016,20500,Automatic,16801,Diesel,20,67.3,2.1,merc
 Kuga,2017,19990,Semi-Auto,18500,Diesel,145,54.3,2.0,ford
 Fiesta,2019,12999,Manual,12914,Petrol,145,56.5,1.0,ford
 Auris,2017,10750,Manual,14497,Petrol,30,58.9,1.2,toyota
 Citigo,2016,6698,Manual,15118,Petrol,20,62.8,1.0,skoda
 Santa Fe,2019,32495,Semi-Auto,11000,Diesel,145,39.2,2.2,hyundi
 Focus,2018,17250,Manual,6324,Petrol,145,60.1,1.0,ford
 A4,2015,17000,Automatic,20451,Diesel,145,53.3,2.0,audi
 X2,2019,24500,Semi-Auto,10112,Diesel,145,61.4,2.0,bmw
 Yaris,2013,6998,Semi-Auto,37825,Petrol,30,55.4,1.3,toyota
 A Class,2019,20750,Semi-Auto,3915,Petrol,145,47.9,1.3,merc
 Kuga,2018,15999,Manual,31365,Diesel,145,60.1,2.0,ford
 GLE Class,2018,44150,Semi-Auto,10763,Diesel,145,36.7,3.0,merc
 Q5,2017,30985,Semi-Auto,17502,Petrol,145,40.4,2.0,audi
 GLA Class,2018,18100,Automatic,21639,Petrol,150,50.4,1.6,merc
 Ka+,2017,7278,Manual,23000,Petrol,150,57.7,1.2,ford
 Fiesta,2017,10500,Manual,10147,Petrol,150,62.8,1.0,ford
 Citigo,2017,6990,Manual,11556,Petrol,20,64.2,1.0,skoda
 X7,2019,72500,Automatic,5929,Diesel,145,31.4,3.0,bmw
 A3,2017,19750,Semi-Auto,17771,Diesel,30,61.4,2.0,audi
 A3,2016,13170,Manual,25706,Petrol,20,60.1,1.0,audi
 Kuga,2019,17498,Manual,7669,Petrol,145,34.4,1.5,ford
 Edge,2019,32900,Automatic,6429,Diesel,145,37.2,2.0,ford
 CLS Class,2015,17450,Automatic,60972,Diesel,160,52.3,3.0,merc
 A Class,2019,19248,Automatic,9837,Diesel,145,65.7,1.5,merc
 Q5,2014,23995,Semi-Auto,35025,Diesel,260,41.5,3.0,audi
 B Class,2019,21980,Automatic,13765,Petrol,145,45.6,1.3,merc
 Kamiq,2020,17495,Manual,1853,Petrol,145,49.6,1.0,skoda
 3 Series,2018,20000,Semi-Auto,28596,Diesel,145,62.8,2.0,bmw
 C Class,2019,27400,Semi-Auto,11723,Diesel,145,56.5,2.0,merc
 2 Series,2016,13522,Manual,53207,Diesel,20,68.9,1.5,bmw
 Fiesta,2015,7395,Manual,38185,Diesel,0,78.5,1.5,ford
 Mondeo,2019,19500,Manual,27,Diesel,145,65.7,2.0,ford
 Focus,2017,15490,Manual,17988,Petrol,145,41.5,2.0,ford
 I10,2019,8895,Manual,3011,Petrol,145,49.6,1.0,hyundi
 Focus,2018,11860,Manual,23769,Diesel,145,74.3,1.5,ford
 C Class,2017,14980,Manual,45034,Diesel,20,68.9,2.1,merc
 Q2,2019,21336,Manual,3885,Diesel,145,49.6,1.6,audi
 Q2,2019,22490,Manual,2044,Diesel,145,49.6,1.6,audi
 A5,2019,28990,Automatic,9200,Petrol,145,37.7,2.0,audi
 Focus,2019,15995,Manual,8496,Petrol,150,60.1,1.0,ford
 I30,2015,6850,Manual,57541,Diesel,0,78.4,1.6,hyundi
 Q5,2020,49990,Semi-Auto,5000,Diesel,145,34.5,3.0,audi
 Yaris,2018,10998,Manual,9053,Petrol,150,58.9,1.5,toyota
 Fiesta,2013,8080,Manual,32448,Petrol,0,65.7,1.0,ford
 Fabia,2016,7000,Manual,29089,Petrol,20,58.8,1.0,skoda
 Ioniq,2019,22989,Automatic,5222,Hybrid,135,78.5,1.6,hyundi
 A1,2017,17962,Semi-Auto,19107,Petrol,30,70.6,1.4,audi
 Fiesta,2014,7930,Manual,25259,Petrol,0,65.7,1.0,ford
 I10,2019,8395,Manual,16108,Petrol,145,57.6,1.2,hyundi
 Superb,2016,11998,Semi-Auto,59585,Diesel,30,62.8,2.0,skoda
 RAV4,2019,30999,Automatic,10768,Hybrid,140,51.1,2.5,toyota
 X-CLASS,2019,32995,Automatic,600,Diesel,260,31.4,3.0,merc
 I30,2018,12985,Automatic,30308,Petrol,145,51.4,1.4,hyundi
 A Class,2018,17800,Automatic,13717,Diesel,145,68.9,1.5,merc
 Grand C-MAX,2011,5490,Manual,64000,Petrol,200,40.9,1.6,ford
 Karoq,2019,17990,Manual,5600,Petrol,145,43.5,1.0,skoda
 Mondeo,2015,8099,Manual,84443,Diesel,0,78.5,1.5,ford
 C Class,2019,22270,Automatic,3233,Petrol,145,44.1,1.6,merc
 Kona,2019,14298,Manual,10757,Petrol,145,44.1,1.0,hyundi
 Aygo,2019,8000,Manual,5354,Petrol,145,56.5,0.0,toyota
 A5,2020,32495,Semi-Auto,2000,Petrol,145,39.2,2.0,audi
 Rapid,2013,5495,Manual,29750,Petrol,125,52.3,1.2,skoda
 5 Series,2018,24498,Semi-Auto,15032,Diesel,145,68.9,2.0,bmw
 Ka+,2018,9998,Manual,6963,Petrol,145,43.5,1.2,ford
 C Class,2017,20700,Automatic,23434,Petrol,150,48.7,2.0,merc
 E Class,2016,17791,Semi-Auto,35279,Diesel,125,58.9,2.1,merc
 Q5,2019,31998,Semi-Auto,65,Petrol,150,33.2,2.0,audi
 C Class,2017,16991,Semi-Auto,41603,Diesel,30,64.2,2.1,merc
 X5,2015,25470,Automatic,54000,Diesel,200,47.1,3.0,bmw
 Kuga,2019,19995,Manual,2100,Petrol,145,39.2,1.5,ford
 GLE Class,2016,28799,Semi-Auto,36500,Diesel,260,42.8,3.0,merc
 A Class,2019,23440,Automatic,10124,Petrol,145,53.3,1.3,merc
 Karoq,2017,12995,Automatic,24314,Petrol,125,51.4,1.5,skoda
 Ka+,2017,8000,Manual,12164,Petrol,30,57.7,1.2,ford
 Fiesta,2018,9291,Manual,7147,Petrol,145,64.2,1.1,ford
 I10,2018,8300,Manual,13148,Petrol,150,60.1,0.0,hyundi
 Tucson,2019,16990,Manual,5004,Petrol,145,34.9,1.6,hyundi
 3 Series,2009,4195,Manual,70000,Petrol,165,47.9,2.0,bmw
 C Class,2019,25549,Semi-Auto,15012,Diesel,145,61.4,2.0,merc
 5 Series,2016,15999,Automatic,28084,Diesel,30,62.8,2.0,bmw
 A5,2015,14995,Automatic,54495,Diesel,125,57.6,3.0,audi
 Octavia,2019,14995,Manual,13389,Petrol,145,55.4,1.5,skoda
 C-MAX,2017,12995,Manual,4318,Diesel,20,68.9,1.5,ford
 E Class,2014,12795,Semi-Auto,54358,Diesel,125,58.9,2.1,merc
 Superb,2016,14299,Semi-Auto,25593,Diesel,30,62.8,2.0,skoda
 Corolla,2019,21991,Automatic,13000,Hybrid,135,78.5,1.8,toyota
 Focus,2019,19210,Manual,9024,Petrol,145,58.9,1.0,ford
 Q3,2017,17241,Manual,46063,Diesel,145,53.3,2.0,audi
 X3,2019,31116,Automatic,8186,Diesel,145,54.3,2.0,bmw
 Yaris,2016,9498,Manual,6849,Petrol,30,55.0,1.3,toyota
 Kamiq,2019,19490,Manual,10,Petrol,145,47.1,1.5,skoda
 Fiesta,2018,10700,Manual,16373,Petrol,145,65.7,1.0,ford
 A3,2014,10485,Manual,28801,Petrol,30,57.6,1.2,audi
 Yaris,2015,7999,Automatic,48160,Petrol,30,58.0,1.3,toyota
 X1,2016,16998,Manual,13612,Diesel,125,60.1,2.0,bmw
 Focus,2015,9999,Manual,29391,Diesel,0,74.3,1.5,ford
 C Class,2018,24222,Semi-Auto,9305,Diesel,145,67.3,2.1,merc
 Q8,2019,83995,Semi-Auto,5978,Diesel,150,30.7,4.0,audi
 Yaris,2017,11495,Automatic,5406,Petrol,30,58.0,1.3,toyota
 1 Series,2016,11490,Manual,49000,Diesel,30,62.8,2.0,bmw
 A6,2017,20481,Semi-Auto,36000,Diesel,30,61.4,2.0,audi
 KA,2014,5495,Manual,4800,Petrol,30,57.7,1.2,ford
 Fiesta,2017,8444,Manual,42787,Petrol,150,65.7,1.0,ford
 Edge,2016,16499,Manual,44947,Diesel,160,48.7,2.0,ford
 A Class,2015,14599,Automatic,19227,Diesel,20,70.6,2.1,merc
 2 Series,2019,29995,Semi-Auto,2069,Petrol,145,39.8,3.0,bmw
 Focus,2018,12699,Manual,21442,Petrol,145,57.7,1.0,ford
 Q5,2019,34496,Semi-Auto,4430,Diesel,145,38.2,2.0,audi
 C Class,2019,45980,Semi-Auto,2010,Petrol,145,29.7,3.0,merc
 Q2,2019,23995,Manual,6484,Diesel,145,49.6,1.6,audi
 E Class,2017,21149,Semi-Auto,29146,Diesel,145,65.7,2.0,merc
 3 Series,2019,25895,Semi-Auto,7225,Diesel,150,52.3,2.0,bmw
 Aygo,2016,6999,Manual,12123,Petrol,0,69.0,1.0,toyota
 C Class,2019,27199,Semi-Auto,930,Petrol,145,45.6,1.5,merc
 Yaris,2019,11795,Manual,5280,Petrol,150,47.9,1.5,toyota
 Kona,2018,12370,Manual,26096,Petrol,145,52.3,1.0,hyundi
 Fiesta,2018,12000,Manual,11444,Petrol,150,62.8,1.0,ford
 Corolla,2019,21995,Automatic,9100,Hybrid,135,58.9,1.8,toyota
 C Class,2014,13799,Automatic,62588,Diesel,30,62.8,2.1,merc
 2 Series,2019,20999,Semi-Auto,4923,Petrol,145,47.9,2.0,bmw
 E Class,2019,37999,Semi-Auto,4366,Diesel,145,48.7,3.0,merc
 B-MAX,2016,8650,Manual,11871,Diesel,0,74.4,1.5,ford
 A Class,2019,23499,Automatic,4149,Diesel,145,56.5,2.0,merc
 A4,2019,29990,Automatic,6000,Diesel,145,49.6,2.0,audi
 7 Series,2016,29240,Semi-Auto,20619,Diesel,145,54.3,3.0,bmw
 Kodiaq,2019,22890,Manual,5,Petrol,150,38.2,1.5,skoda
 E Class,2020,56980,Semi-Auto,3999,Petrol,145,32.1,3.0,merc
 Q7,2018,54990,Semi-Auto,19940,Diesel,145,39.2,4.0,audi
 1 Series,2016,10985,Manual,37500,Diesel,20,72.4,1.5,bmw
 C Class,2016,20990,Semi-Auto,20972,Diesel,30,64.2,2.1,merc
 Fiesta,2018,12995,Manual,11340,Petrol,145,62.8,1.0,ford
 Yeti Outdoor,2016,16290,Manual,20169,Petrol,160,44.8,1.4,skoda
 Rapid,2018,10990,Manual,23147,Petrol,145,58.9,1.0,skoda
 E Class,2017,21156,Automatic,15815,Diesel,145,67.3,2.0,merc
 Yaris,2015,10395,Automatic,42321,Hybrid,0,78.0,1.5,toyota
 Yaris,2016,10572,Automatic,35588,Hybrid,0,86.0,1.5,toyota
 Focus,2017,11689,Manual,14132,Diesel,0,74.3,1.5,ford
 GLA Class,2019,24999,Semi-Auto,1523,Diesel,145,64.2,2.1,merc
 2 Series,2019,23872,Semi-Auto,1105,Diesel,145,52.3,2.0,bmw
 Fiesta,2012,5295,Manual,32000,Petrol,125,51.4,1.2,ford
 Fabia,2019,11750,Manual,8000,Petrol,145,61.4,1.0,skoda
 2 Series,2019,23900,Automatic,2426,Diesel,145,47.1,2.0,bmw
 C Class,2019,52000,Automatic,5072,Petrol,145,34.5,4.0,merc
 GLA Class,2016,18390,Semi-Auto,43225,Diesel,125,56.6,2.1,merc
 A Class,2020,33569,Semi-Auto,1000,Petrol,145,35.8,2.0,merc
 Focus,2017,18500,Manual,10960,Petrol,145,41.5,2.0,ford
 G Class,2020,159999,Semi-Auto,1350,Petrol,145,21.4,4.0,merc
 Fiesta,2013,5790,Manual,40000,Petrol,30,54.3,1.2,ford
 A Class,2019,26480,Semi-Auto,1998,Petrol,145,28.5,2.0,merc
 3 Series,2015,16995,Automatic,35973,Diesel,160,51.4,3.0,bmw
 A Class,2018,19350,Semi-Auto,14792,Diesel,145,67.3,1.5,merc
 E Class,2017,20699,Semi-Auto,26442,Diesel,145,72.4,2.0,merc
 5 Series,2016,15840,Manual,33700,Diesel,125,60.1,2.0,bmw
 Avensis,2015,8600,Manual,69426,Diesel,30,61.4,2.0,toyota
 Mondeo,2019,20500,Manual,24,Diesel,145,65.7,2.0,ford
 TT,2016,14510,Manual,51545,Petrol,150,47.1,1.8,audi
 1 Series,2018,23499,Semi-Auto,12087,Petrol,145,39.8,3.0,bmw
 Fiesta,2018,11750,Manual,13000,Petrol,145,65.7,1.0,ford
 X1,2020,34995,Semi-Auto,1501,Diesel,145,50.4,2.0,bmw
 Grand Tourneo Connect,2016,13500,Automatic,44785,Diesel,125,56.6,1.5,ford
 Focus,2020,18991,Manual,905,Petrol,150,60.1,1.0,ford
 Fiesta,2017,9999,Manual,40341,Petrol,145,62.8,1.0,ford
 A3,2019,23413,Semi-Auto,12971,Petrol,145,41.5,1.5,audi
 Yaris,2016,8195,Manual,30513,Petrol,30,58.0,1.3,toyota
 Q5,2016,23990,Manual,22100,Petrol,260,35.8,2.0,audi
 E Class,2018,35950,Automatic,5776,Diesel,145,42.8,3.0,merc
 2 Series,2016,12998,Manual,20565,Diesel,0,74.3,1.5,bmw
 C Class,2018,22849,Semi-Auto,8641,Petrol,145,45.6,1.5,merc
 Auris,2015,8944,Manual,23624,Petrol,150,46.3,1.6,toyota
 A Class,2020,25980,Manual,347,Petrol,145,47.1,1.3,merc
 Focus,2018,13200,Manual,20597,Petrol,145,57.7,1.0,ford
 A Class,2017,16919,Manual,8961,Diesel,20,68.9,1.5,merc
 Fabia,2017,8359,Manual,52235,Diesel,20,70.6,1.4,skoda
 X2,2019,29490,Semi-Auto,1155,Diesel,145,61.4,2.0,bmw
 Fiesta,2013,5850,Manual,49649,Petrol,30,54.3,1.2,ford
 C Class,2020,28590,Semi-Auto,1501,Diesel,145,54.3,1.6,merc
 TT,2011,9099,Automatic,75309,Petrol,200,39.8,2.0,audi
 2 Series,2016,12699,Manual,13267,Petrol,125,52.3,1.5,bmw
 3 Series,2016,16995,Automatic,61630,Diesel,145,53.3,3.0,bmw
 Aygo,2017,9790,Semi-Auto,10059,Petrol,150,67.3,1.0,toyota
 I10,2019,9990,Manual,2938,Petrol,145,49.6,1.0,hyundi
 Aygo,2019,9990,Manual,2863,Petrol,150,56.5,1.0,toyota
 Rapid,2018,11100,Manual,8349,Petrol,145,58.9,1.0,skoda
 3 Series,2017,24950,Automatic,5000,Diesel,150,51.4,3.0,bmw
 Kuga,2017,14998,Manual,12644,Diesel,30,64.2,1.5,ford
 X3,2016,15900,Automatic,59692,Diesel,145,54.3,2.0,bmw
 C Class,2014,14490,Semi-Auto,31801,Diesel,20,64.2,2.1,merc
 B-MAX,2015,7349,Semi-Auto,57836,Petrol,160,44.1,1.6,ford
 Tucson,2018,14500,Manual,14427,Petrol,150,44.8,1.6,hyundi
 GLA Class,2015,16998,Semi-Auto,42129,Diesel,125,56.5,2.1,merc
 2 Series,2019,20898,Automatic,8177,Hybrid,135,148.7,1.5,bmw
 A Class,2017,12988,Automatic,44941,Diesel,20,74.3,1.5,merc
 X5,2019,51990,Semi-Auto,12,Diesel,145,37.7,3.0,bmw
 Fiesta,2014,7869,Manual,55186,Petrol,145,47.9,1.6,ford
 Yaris,2018,12000,Automatic,4360,Petrol,145,60.1,1.5,toyota
 C-MAX,2017,11995,Manual,14000,Petrol,30,55.4,1.0,ford
 GLC Class,2016,23500,Automatic,20335,Diesel,125,56.5,2.1,merc
 C Class,2017,23415,Semi-Auto,6955,Diesel,30,64.2,2.1,merc
 Focus,2017,10900,Manual,13338,Diesel,0,74.3,1.5,ford
 GLC Class,2018,31975,Automatic,10516,Diesel,145,56.5,2.1,merc
 A3,2017,17450,Semi-Auto,26931,Petrol,30,56.5,1.4,audi
 Fiesta,2012,5999,Manual,62300,Petrol,0,65.7,1.0,ford
 Aygo,2018,7793,Manual,10600,Petrol,145,69.0,1.0,toyota
 A8,2019,33992,Automatic,16584,Petrol,145,37.7,3.0,audi
 Yaris,2017,9998,Manual,28548,Petrol,30,55.0,1.3,toyota
 I10,2020,11490,Manual,101,Petrol,145,56.5,1.0,hyundi
 Fabia,2017,10214,Semi-Auto,21419,Petrol,145,60.1,1.2,skoda
 EcoSport,2019,15750,Manual,5,Petrol,145,53.3,1.0,ford
 Tucson,2016,10998,Manual,22665,Petrol,160,44.8,1.6,hyundi
 Auris,2016,13980,Automatic,42171,Hybrid,0,78.5,1.8,toyota
 EcoSport,2018,13750,Manual,16025,Petrol,145,54.3,1.0,ford
 Tucson,2019,23880,Semi-Auto,9733,Petrol,150,35.8,1.6,hyundi
 X3,2019,56322,Semi-Auto,4620,Petrol,145,24.8,3.0,bmw
 GLC Class,2019,38999,Automatic,6148,Diesel,145,40.9,2.0,merc
 I20,2016,7290,Manual,27458,Petrol,30,56.5,1.2,hyundi
 TT,2016,17700,Manual,33538,Diesel,30,61.4,2.0,audi
 i8,2014,43497,Automatic,41237,Hybrid,0,134.5,1.5,bmw
 A4,2019,21950,Manual,11000,Petrol,150,39.2,2.0,audi
 C Class,2014,13251,Semi-Auto,56219,Diesel,20,64.2,2.1,merc
 X3,2019,38995,Semi-Auto,10,Diesel,145,54.3,2.0,bmw
 Q7,2017,33946,Automatic,27000,Diesel,145,47.9,3.0,audi
 3 Series,2020,30995,Semi-Auto,1501,Petrol,145,42.2,2.0,bmw
 Q7,2019,46456,Semi-Auto,4566,Diesel,145,32.8,3.0,audi
 C Class,2019,26990,Automatic,4042,Petrol,145,42.2,2.0,merc
 Kuga,2019,19499,Manual,6689,Petrol,150,35.3,1.5,ford
 E Class,2019,30350,Semi-Auto,3607,Diesel,145,57.7,2.0,merc
 A Class,2018,17980,Semi-Auto,15135,Diesel,145,68.9,2.1,merc
 E Class,2017,21323,Automatic,23448,Diesel,165,52.3,3.0,merc
 Yaris,2017,10250,Manual,14982,Petrol,145,58.9,1.5,toyota
 S Class,2019,40900,Automatic,15251,Diesel,150,52.3,2.9,merc
 TT,2003,6490,Automatic,43000,Petrol,325,28.8,3.2,audi
 X2,2018,24490,Semi-Auto,7100,Diesel,150,61.4,2.0,bmw
 3 Series,2016,17110,Semi-Auto,16923,Diesel,125,60.1,2.0,bmw
 Corolla,2019,21790,Automatic,10836,Hybrid,135,78.5,1.8,toyota
 Focus,2015,12787,Manual,39772,Diesel,20,67.3,2.0,ford
 3 Series,2017,19990,Automatic,29000,Diesel,145,51.4,3.0,bmw
 Focus,2016,10185,Automatic,53717,Diesel,30,64.2,2.0,ford
 2 Series,2017,17990,Semi-Auto,8693,Petrol,145,50.4,2.0,bmw
 GLA Class,2017,22000,Semi-Auto,16102,Diesel,145,56.5,2.1,merc
 A Class,2019,23980,Semi-Auto,2555,Petrol,145,47.9,1.3,merc
 Fiesta,2016,9995,Manual,5900,Petrol,0,65.7,1.0,ford
 5 Series,2019,28850,Automatic,1647,Diesel,145,60.1,2.0,bmw
 Octavia,2016,11990,Semi-Auto,24676,Petrol,30,58.9,1.4,skoda
 M4,2017,34995,Semi-Auto,23250,Petrol,300,34.0,3.0,bmw
 1 Series,2017,13200,Manual,17117,Petrol,145,53.3,1.5,bmw
 A Class,2016,9891,Manual,116000,Diesel,20,68.9,2.1,merc
 C Class,2017,35499,Automatic,10709,Petrol,145,34.0,3.0,merc
 I30,2016,11230,Automatic,6839,Petrol,200,41.5,1.6,hyundi
 E Class,2016,19699,Semi-Auto,30148,Diesel,30,61.4,2.0,merc
 Fiesta,2017,12750,Semi-Auto,12687,Petrol,145,54.3,1.0,ford
 A3,2019,22500,Automatic,1863,Petrol,145,40.9,2.0,audi
 A3,2017,16495,Semi-Auto,35000,Petrol,30,56.5,1.4,audi
 Fiesta,2017,9995,Manual,34112,Petrol,145,65.7,1.0,ford
 EcoSport,2016,8000,Manual,58000,Petrol,125,53.3,1.0,ford
 I30,2015,7498,Manual,38884,Petrol,150,48.7,1.4,hyundi
 Fiesta,2016,9998,Manual,20682,Petrol,0,65.7,1.0,ford
 Fabia,2014,6080,Semi-Auto,26276,Petrol,125,53.3,1.2,skoda
 SL CLASS,2018,22495,Semi-Auto,4000,Petrol,145,48.7,1.6,merc
 Focus,2017,11550,Semi-Auto,30973,Diesel,0,74.3,1.5,ford
 Fabia,2016,6995,Manual,32149,Petrol,20,58.8,1.0,skoda
 Octavia,2019,15195,Manual,14781,Petrol,145,52.3,1.5,skoda
 A4,2017,17600,Manual,25974,Petrol,145,51.4,1.4,audi
 3 Series,2019,28980,Semi-Auto,6093,Diesel,150,48.7,2.0,bmw
 C Class,2013,11552,Automatic,43500,Petrol,160,44.8,1.6,merc
 A1,2020,22690,Semi-Auto,5000,Petrol,145,44.8,1.5,audi
 B-MAX,2017,9900,Manual,33766,Petrol,30,56.5,1.0,ford
 EcoSport,2017,12200,Manual,18868,Petrol,125,52.3,1.0,ford
 Fiesta,2012,5995,Manual,43008,Diesel,20,68.9,1.4,ford
 A1,2019,22490,Semi-Auto,1954,Petrol,145,44.8,1.5,audi
 GLC Class,2017,33000,Semi-Auto,28263,Petrol,305,34.0,3.0,merc
 Focus,2017,11599,Manual,36539,Diesel,0,74.3,1.5,ford
 Fiesta,2018,16500,Manual,10026,Petrol,150,40.3,1.5,ford
 RAV4,2016,13000,Manual,56437,Diesel,125,60.1,2.0,toyota
 A Class,2017,17495,Semi-Auto,24500,Diesel,145,68.9,2.1,merc
 E Class,2019,24990,Automatic,14908,Diesel,145,72.4,2.0,merc
 I20,2018,9985,Automatic,20796,Petrol,145,45.6,1.4,hyundi
 Q3,2019,34990,Automatic,2240,Petrol,145,38.2,1.5,audi
 I10,2017,7500,Manual,12717,Petrol,145,60.1,1.0,hyundi
 C Class,2016,18799,Semi-Auto,20115,Petrol,125,51.4,2.0,merc
 GLA Class,2019,22949,Semi-Auto,11810,Diesel,145,67.3,2.1,merc
 Aygo,2016,8300,Manual,16530,Petrol,0,69.0,1.0,toyota
 E Class,2019,28149,Semi-Auto,3242,Petrol,145,39.8,2.0,merc
 3 Series,2011,9490,Automatic,59000,Diesel,235,44.1,3.0,bmw
 3 Series,2012,8569,Automatic,85118,Diesel,30,62.8,2.0,bmw
 Tucson,2019,15998,Manual,3454,Petrol,145,35.3,1.6,hyundi
 SL CLASS,2019,51124,Automatic,10627,Petrol,145,31.4,4.7,merc
 Superb,2018,16495,Manual,5000,Petrol,150,40.9,1.5,skoda
 RS5,2019,58995,Semi-Auto,3382,Petrol,145,30.1,2.9,audi
 Fiesta,2017,11000,Manual,13903,Diesel,0,78.5,1.5,ford
 Fiesta,2018,10450,Manual,21919,Petrol,145,65.7,1.0,ford
 A Class,2015,13000,Manual,19561,Petrol,145,48.7,1.6,merc
 Octavia,2019,14690,Semi-Auto,15276,Diesel,150,70.6,1.6,skoda
 Q5,2018,33450,Semi-Auto,10443,Petrol,145,40.4,2.0,audi
 Octavia,2018,11290,Manual,20047,Petrol,145,58.9,1.0,skoda
 Fiesta,2017,6760,Manual,63998,Diesel,0,78.5,1.5,ford
 A1,2015,10899,Automatic,30854,Diesel,0,76.3,1.6,audi
 3 Series,2019,25330,Semi-Auto,2307,Diesel,145,65.7,2.0,bmw
 1 Series,2019,18975,Manual,5650,Diesel,145,65.7,2.0,bmw
 A Class,2013,8500,Manual,69031,Petrol,125,51.4,1.6,merc
 Octavia,2018,12498,Manual,18768,Diesel,145,68.9,1.6,skoda
 I10,2020,13366,Manual,3600,Petrol,150,53.3,1.0,hyundi
 3 Series,2020,29990,Semi-Auto,9,Diesel,145,51.4,2.0,bmw
 Kamiq,2020,22800,Semi-Auto,1050,Petrol,145,43.5,1.5,skoda
 Kodiaq,2020,35990,Automatic,3500,Diesel,150,39.2,2.0,skoda
 GLA Class,2016,19999,Semi-Auto,17344,Diesel,125,56.5,2.1,merc
 A1,2015,10800,Manual,20048,Petrol,0,67.3,1.0,audi
 A5,2019,25950,Semi-Auto,8130,Diesel,145,67.3,2.0,audi
 Grand C-MAX,2016,10699,Manual,39296,Diesel,30,64.2,1.5,ford
 I10,2016,6130,Manual,19390,Petrol,20,60.1,1.0,hyundi
 X2,2019,36995,Semi-Auto,3091,Petrol,145,34.0,2.0,bmw
 Aygo,2017,6821,Manual,12346,Petrol,145,69.0,1.0,toyota
 1 Series,2013,8000,Manual,50000,Petrol,145,49.6,1.6,bmw
 Kuga,2016,14291,Manual,31177,Diesel,145,54.3,2.0,ford
 Yaris,2016,11995,Automatic,13467,Hybrid,0,86.0,1.5,toyota
 Karoq,2019,19890,Manual,4900,Petrol,145,42.8,1.5,skoda
 5 Series,2015,19676,Semi-Auto,37749,Diesel,160,49.6,3.0,bmw
 Focus,2015,6350,Manual,78968,Diesel,0,74.3,1.5,ford
 1 Series,2017,16800,Semi-Auto,16761,Diesel,145,67.3,2.0,bmw
 Karoq,2018,18290,Manual,7757,Petrol,145,52.3,1.5,skoda
 Fiesta,2018,13291,Manual,14773,Petrol,150,58.9,1.0,ford
 Karoq,2019,26943,Manual,5966,Diesel,145,42.8,2.0,skoda
 Aygo,2019,9170,Manual,4300,Petrol,145,57.7,1.0,toyota
 1 Series,2016,12741,Manual,42500,Diesel,20,68.9,2.0,bmw
 1 Series,2016,11759,Manual,55987,Diesel,20,70.6,1.5,bmw
 Q2,2020,24653,Manual,6000,Petrol,145,43.5,1.5,audi
 Galaxy,2016,17990,Manual,23300,Diesel,125,56.5,2.0,ford
 C Class,2019,26500,Automatic,6902,Petrol,145,45.6,1.5,merc
 I30,2016,10485,Manual,31745,Diesel,20,72.4,1.6,hyundi
 C Class,2016,22765,Automatic,25178,Diesel,30,65.7,2.1,merc
 Fiesta,2018,11291,Manual,25993,Petrol,145,62.8,1.0,ford
 S-MAX,2017,24000,Semi-Auto,16815,Diesel,145,54.3,2.0,ford
 Auris,2014,11599,Automatic,27110,Hybrid,0,72.4,1.8,toyota
 E Class,2009,4950,Automatic,99844,Diesel,305,27.7,3.0,merc
 Yaris,2019,11995,Manual,15000,Petrol,145,47.9,1.5,toyota
 Octavia,2015,8169,Manual,71668,Diesel,0,74.3,1.6,skoda
 E Class,2016,17498,Semi-Auto,54502,Diesel,20,72.4,2.0,merc
 4 Series,2018,22770,Automatic,13623,Diesel,145,58.9,2.0,bmw
 4 Series,2018,21300,Automatic,20024,Petrol,145,45.6,2.0,bmw
 A5,2016,24698,Semi-Auto,7355,Petrol,260,35.8,3.0,audi
 Ka+,2017,7700,Manual,7062,Petrol,145,57.7,1.2,ford
 Fabia,2016,7990,Manual,26000,Petrol,20,60.1,1.2,skoda
 C-HR,2017,12995,Manual,44720,Petrol,150,47.9,1.2,toyota
 Kuga,2016,15998,Manual,20334,Diesel,145,54.3,2.0,ford
 Corolla,2019,19995,Manual,7777,Petrol,145,39.2,1.2,toyota
 Focus,2015,7990,Manual,27792,Petrol,20,61.4,1.0,ford
 GLC Class,2016,19750,Automatic,48979,Diesel,125,56.5,2.1,merc
 Fiesta,2017,9000,Manual,26286,Petrol,125,54.3,1.2,ford
 CLS Class,2015,18999,Semi-Auto,22067,Diesel,125,57.7,2.1,merc
 Fiesta,2018,12795,Manual,12501,Petrol,145,58.9,1.0,ford
 A Class,2016,14400,Manual,15325,Diesel,20,72.4,1.5,merc
 Aygo,2016,6295,Manual,9000,Petrol,0,69.0,1.0,toyota
